SampleID	Well	Month	Season	Cluster	Zone	Aquifer	TEMP_W_ES	EC	EC25	PH	DO	NH4	PO4	DOC	TOC	TIC	NO3	SO4	Cl	Ca	Fe	Mg	Mn	Na
Sample15	H43	Feb	Winter	04	HTU4	HTU	4.8	451	108.601602197807	7.21	0	0.1	1	1	1.1	38.09	0.53	12.19	9.2	29.5	72.3	31.11	6.3	3.1
Sample16	H43	May	Spring	04	HTU4	HTU	5	451	108.026229470931	7.31	0	0.1	2.7	0.8	0.8	39.79	0.04	9.8	9.1	29.5	61.6	30.31	6.11	3.4
Sample17	H43	July	Summer	04	HTU4	HTU	4.9	451	107.882386289212	7.31	0	0.1	1.1	0.8	1	42.08	1.71	14.37	11.2	29.4	81.2	33.43	6.86	3.9
Sample18	H43	Oct	Autumn	04	HTU4	HTU	4.9	451	109.033131742963	7.11	0	0.1	1.3	1.1	1.1	37.79	0	7.67	9	29.5	81.2	32.76	7.99	3
Sample19	H43	Jan	Winter	04	HTU4	HTU	4	442	106.73164083546	7.31	0	0.1	3	0.8	0.8	31.68	0	14.55	8.7	29.3	76.5	32.23	9.84	3.1
Sample20	H43	Apr	Spring	04	HTU4	HTU	4.6	442	106.156268108584	7.31	0	0.1	0.4	1.5	1.7	32.19	0	11.03	9.8	29.5	69.3	33.42	13.85	2.9
Sample21	H52	Mar	Spring	05	HTU5	HTU	5	451	107.163170380617	7.41	0	0.5	0.3	1.4	1.6	33.93	0	17.78	7.3	26.4	0	35.72	0.01	4.1
Sample22	H52	Jun	Summer	05	HTU5	HTU	4.7	459	107.594699925774	7.41	0	0.4	0.4	1	1.1	32.86	4.93	21.53	7.9	26.6	0	36.76	0	4.3
Sample23	H52	Aug	Summer	05	HTU5	HTU	4.3	464	109.608504469839	7.41	0	0.3	0.3	2.2	2.2	30.57	12.18	16.02	9.5	26.2	24	35.35	2.14	4.6
Sample24	H52	Nov	Autumn	05	HTU5	HTU	4.3	461	109.46466128812	7.41	0	0.3	0.7	0.7	0.8	30.53	15.51	17.96	10.3	26.2	21.7	34.25	2.06	5.3
Sample25	H52	Feb	Winter	05	HTU5	HTU	4.4	440	107.450856744055	7.31	0	0.2	0.5	0.8	0.6	31.34	0.14	22.01	6.9	26.5	30.3	33.83	2.54	4.8
Sample26	H52	May	Spring	05	HTU5	HTU	4.4	455	108.17007265265	7.41	0	0.3	2	0.8	0.6	32.36	0.78	22.19	7.2	26.4	41	32.76	2.53	3.9
Sample27	H52	July	Summer	05	HTU5	HTU	4.7	453	108.457759016088	7.41	0	0.2	0.8	1.1	1	36.01	8.16	13.46	8.1	25.9	32.4	34.39	2.42	5.3
Sample28	H52	Oct	Autumn	05	HTU5	HTU	4.3	458	108.313915834369	7.41	0	0.3	0.9	1	1.2	32.14	12.33	12.83	8.9	25.7	58.1	36.86	2.15	6.1
Sample29	H52	Jan	Winter	05	HTU5	HTU	4.7	450	109.752347651558	7.41	0	0.3	3.5	0.8	0.9	27.43	24.84	19.66	11.2	26	27.6	37.31	1.97	4.3
Sample30	H52	Apr	Spring	05	HTU5	HTU	4.6	446	105.293209018271	7.41	0	0.3	0.7	1.1	1.5	26.96	0	23.08	6.6	26.3	114.6	36.36	2.25	4.9
